"gebiedcode15";"peildatum";"variabele";"waarde";"toelichting";
"Zoomlevel 0 / Centrum";"2008";"roken_agm";"25,7";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / West";"2008";"roken_agm";"31,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / Nieuw-West";"2008";"roken_agm";"24,7";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / Zuid";"2008";"roken_agm";"27,3";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / Oost";"2008";"roken_agm";"23,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / Noord";"2008";"roken_agm";"31,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / Zuidoost";"2008";"roken_agm";"27,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / Totaal";"2008";"roken_agm";"27,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 1 Centrum-West";"2008";"roken_agm";"26,3";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 2 Centrum-Oost";"2008";"roken_agm";"25,1";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 3 Westerpark";"2008";"roken_agm";"29,9";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 4 Bos en Lommer";"2008";"roken_agm";"34,7";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 5 Oud-West/De Baarsjes";"2008";"roken_agm";"30,5";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 6 Geuzenveld/Slotermeer";"2008";"roken_agm";"29,6";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 7 Osdorp";"2008";"roken_agm";"20,3";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 8 De Aker/Nieuw Sloten";"2008";"roken_agm";"20,9";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 9 Slotervaart";"2008";"roken_agm";"26,3";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 10 Oud-Zuid";"2008";"roken_agm";"22,1";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 11 Buitenveldert/Zuidas";"2008";"roken_agm";"25,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 12 De Pijp/Rivierenbuurt";"2008";"roken_agm";"32,8";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 13 Oud-oost";"2008";"roken_agm";"25";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 14 Indische buurt/Oostelijk havengebied";"2008";"roken_agm";"18,7";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 15 Watergraafsmeer";"2008";"roken_agm";"25";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 16 IJburg/Zeeburgereiland";"2008";"roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 17 Noord-West";"2008";"roken_agm";"30,4";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 18 Oud-Noord";"2008";"roken_agm";"37,1";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 19 Noord-Oost";"2008";"roken_agm";"27,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 20 Bijlmer-Centrum";"2008";"roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 21 Bijlmer-Oost";"2008";"roken_agm";"28,9";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 1 / 22 Gaasperdam/Driemond";"2008";"roken_agm";"26";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 3 / Mannen";"2008";"roken_agm";"30,1";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 3 / Vrouwen";"2008";"roken_agm";"24,5";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 5 / Laag (lager onderwijs)";"2008";"roken_agm";"27";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 5 / Midden 1 (mavo/vmbo/mbo1)";"2008";"roken_agm";"33";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 5 / Midden 2 (havo/vwo/mbo2-4)";"2008";"roken_agm";"31,3";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 5 / Hoog (hbo/wo)";"2008";"roken_agm";"22,1";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 8 / 19-64 jaar";"2008";"roken_agm";"28,7";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 8 / 65 jaar of ouder";"2008";"roken_agm";"18,4";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 9 / 19-34 jaar";"2008";"roken_agm";"29,3";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 9 / 35-64 jaar";"2008";"roken_agm";"28,4";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 9 / 65 jaar of ouder";"2008";"roken_agm";"18,4";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 10 / 19-34 jaar";"2008";"roken_agm";"29,3";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 10 / 35-49 jaar";"2008";"roken_agm";"26,4";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 10 / 50-64 jaar";"2008";"roken_agm";"31,2";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 10 / 65-74 jaar";"2008";"roken_agm";"22,8";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 10 / 75 jaar of ouder";"2008";"roken_agm";"14,4";"Percentage inwoners van 19 jaar en ouder dat rookt";
"Zoomlevel 0 / Centrum";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 0 / West";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 0 / Nieuw-West";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 0 / Zuid";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 0 / Oost";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 0 / Noord";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
